trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
634,False,"{'a': 0.6, 'e': 0.36599999999999944}",25,2,-0.9590516304943026,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
635,False,"{'a': 0.6, 'e': 0.36499999999999944}",25,2,-36.82470291319588,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
636,False,"{'a': 0.6, 'e': 0.36399999999999944}",20,6,23.512671674695902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.6, 'e': 0.36299999999999943}",20,14,10.491768208203876,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.6, 'e': 0.36199999999999943}",20,4,0.4796815370797385,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
639,False,"{'a': 0.6, 'e': 0.36099999999999943}",20,0,-21.689354870102846,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
640,False,"{'a': 0.6, 'e': 0.35999999999999943}",25,5,-73.92451942233103,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
641,False,"{'a': 0.6, 'e': 0.35899999999999943}",20,0,17.015560753122678,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
642,False,"{'a': 0.6, 'e': 0.35799999999999943}",30,19,-7.322039620661329,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.6, 'e': 0.35699999999999943}",25,20,8.02554539509915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.6, 'e': 0.35599999999999943}",30,18,-16.929337144260888,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
645,False,"{'a': 0.6, 'e': 0.3549999999999994}",25,15,-5.942125502602201,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
646,False,"{'a': 0.6, 'e': 0.3539999999999994}",30,0,-36.52948957765641,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
647,False,"{'a': 0.6, 'e': 0.3529999999999994}",25,7,-30.430453346777085,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
648,False,"{'a': 0.6, 'e': 0.3519999999999994}",30,16,-29.293215444064636,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
